country,recovery_days
Indonesia,50.45277665180381
Mexico,50.152075626798194
France,50.116569525395505
Italy,50.05912904514582
South Africa,49.98237885462555
Japan,49.91990291262136
Greece,49.89532560926888
Brazil,49.805094558085685
United States,49.70327393286365
Canada,49.64807219031994
Philippines,49.63561756257694
Germany,49.6076801266825
Bangladesh,49.60712886799843
China,49.522646711303665
India,49.45874850538063
Nigeria,49.450949367088604
Spain,49.289421942587495
Australia,49.25985173624659
Chile,49.220640569395016
Turkey,48.94714173844949
